2026-08-06 23:57:24,603 | CAMERA_MANAGER | INFO | Starting camera: c1
2026-08-06 23:57:24,604 | CAMERA_MANAGER | INFO | Starting camera: c2
2026-08-06 23:57:24,609 | CAMERA_MANAGER | INFO | Starting camera: c3
2026-08-06 23:57:24,610 | CAMERA_MANAGER | INFO | Starting camera: c4
2026-08-06 23:57:24,875 | CAMERA_MANAGER | INFO | Sent frame 1 from c4
2026-08-06 23:57:24,995 | CAMERA_MANAGER | INFO | Sent frame 2 from c4
2026-08-06 23:57:25,100 | CAMERA_MANAGER | INFO | Sent frame 1 from c3
2026-08-06 23:57:25,176 | CAMERA_MANAGER | INFO | Sent frame 2 from c3
2026-08-06 23:57:25,246 | CAMERA_MANAGER | INFO | Sent frame 3 from c4
2026-08-06 23:57:25,370 | CAMERA_MANAGER | INFO | Sent frame 1 from c1
2026-08-06 23:57:25,411 | CAMERA_MANAGER | INFO | Sent frame 3 from c3
2026-08-06 23:57:25,442 | CAMERA_MANAGER | INFO | Sent frame 2 from c1
2026-08-06 23:57:25,499 | CAMERA_MANAGER | INFO | Sent frame 4 from c4
2026-08-06 23:57:25,666 | CAMERA_MANAGER | INFO | Sent frame 4 from c3
2026-08-06 23:57:25,692 | CAMERA_MANAGER | INFO | Sent frame 3 from c1
2026-08-06 23:57:25,749 | CAMERA_MANAGER | INFO | Sent frame 5 from c4
2026-08-06 23:57:25,832 | CAMERA_MANAGER | INFO | Sent frame 1 from c2
2026-08-06 23:57:25,856 | CAMERA_MANAGER | INFO | Sent frame 2 from c2
2026-08-06 23:57:25,862 | CAMERA_MANAGER | INFO | Sent frame 5 from c3
2026-08-06 23:57:25,916 | CAMERA_MANAGER | INFO | Sent frame 4 from c1
2026-08-06 23:57:25,981 | CAMERA_MANAGER | INFO | Sent frame 6 from c4
2026-08-06 23:57:26,121 | CAMERA_MANAGER | INFO | Sent frame 6 from c3
2026-08-06 23:57:26,165 | CAMERA_MANAGER | INFO | Sent frame 3 from c2
2026-08-06 23:57:26,168 | CAMERA_MANAGER | INFO | Sent frame 5 from c1
2026-08-06 23:57:26,232 | CAMERA_MANAGER | INFO | Sent frame 7 from c4
2026-08-06 23:57:26,403 | CAMERA_MANAGER | INFO | Sent frame 7 from c3
2026-08-06 23:57:26,433 | CAMERA_MANAGER | INFO | Sent frame 4 from c2
2026-08-06 23:57:26,434 | CAMERA_MANAGER | INFO | Sent frame 6 from c1
2026-08-06 23:57:26,482 | CAMERA_MANAGER | INFO | Sent frame 8 from c4
2026-08-06 23:57:26,652 | CAMERA_MANAGER | INFO | Sent frame 8 from c3
2026-08-06 23:57:26,688 | CAMERA_MANAGER | INFO | Sent frame 5 from c2
2026-08-06 23:57:26,699 | CAMERA_MANAGER | INFO | Sent frame 7 from c1
2026-08-06 23:57:26,742 | CAMERA_MANAGER | INFO | Sent frame 9 from c4
2026-08-06 23:57:26,903 | CAMERA_MANAGER | INFO | Sent frame 9 from c3
2026-08-06 23:57:26,941 | CAMERA_MANAGER | INFO | Sent frame 6 from c2
2026-08-06 23:57:26,946 | CAMERA_MANAGER | INFO | Sent frame 8 from c1
2026-08-06 23:57:26,996 | CAMERA_MANAGER | INFO | Sent frame 10 from c4
2026-08-06 23:57:27,120 | CAMERA_MANAGER | INFO | Sent frame 7 from c2
