2026-08-06 23:32:19,269 | REDIS_SERVER | INFO | Redis Connected Successfully
2026-08-06 23:32:19,271 | REDIS_SERVER | INFO | Loaded c1 into Redis
2026-08-06 23:32:19,271 | REDIS_SERVER | INFO | Loaded c2 into Redis
2026-08-06 23:32:19,271 | REDIS_SERVER | INFO | Loaded c3 into Redis
2026-08-06 23:32:19,272 | REDIS_SERVER | INFO | Loaded c4 into Redis
2026-08-06 23:33:51,302 | REDIS_SERVER | INFO | Redis Connected Successfully
2026-08-06 23:33:51,304 | REDIS_SERVER | INFO | Loaded c1 into Redis
2026-08-06 23:33:51,304 | REDIS_SERVER | INFO | Loaded c2 into Redis
2026-08-06 23:33:51,304 | REDIS_SERVER | INFO | Loaded c3 into Redis
2026-08-06 23:33:51,305 | REDIS_SERVER | INFO | Loaded c4 into Redis
2026-08-06 23:57:23,871 | REDIS_SERVER | INFO | Redis Connected Successfully
2026-08-06 23:57:23,872 | REDIS_SERVER | INFO | Loaded c1 into Redis
2026-08-06 23:57:23,872 | REDIS_SERVER | INFO | Loaded c2 into Redis
2026-08-06 23:57:23,872 | REDIS_SERVER | INFO | Loaded c3 into Redis
2026-08-06 23:57:23,873 | REDIS_SERVER | INFO | Loaded c4 into Redis
2026-08-07 00:03:59,818 | REDIS_SERVER | INFO | Frame saved to Redis for camera: c1
2026-08-07 00:04:03,001 | REDIS_SERVER | INFO | Frame saved to Redis for camera: c1
2026-08-07 00:04:03,900 | REDIS_SERVER | INFO | Frame saved to Redis for camera: c1
2026-08-07 00:04:05,589 | REDIS_SERVER | INFO | Frame saved to Redis for camera: c1
2026-08-07 00:04:06,143 | REDIS_SERVER | INFO | Frame saved to Redis for camera: c1
2026-08-07 00:04:06,754 | REDIS_SERVER | INFO | Frame saved to Redis for camera: c1
2026-08-07 00:04:07,292 | REDIS_SERVER | INFO | Frame saved to Redis for camera: c1
2026-08-07 00:04:07,886 | REDIS_SERVER | INFO | Frame saved to Redis for camera: c1
2026-08-07 00:04:08,417 | REDIS_SERVER | INFO | Frame saved to Redis for camera: c1
2026-08-07 00:04:09,039 | REDIS_SERVER | INFO | Frame saved to Redis for camera: c1
2026-08-07 00:04:09,678 | REDIS_SERVER | INFO | Frame saved to Redis for camera: c1
2026-08-07 00:04:10,226 | REDIS_SERVER | INFO | Frame saved to Redis for camera: c1
2026-08-07 00:04:10,840 | REDIS_SERVER | INFO | Frame saved to Redis for camera: c1
2026-08-07 00:04:11,401 | REDIS_SERVER | INFO | Frame saved to Redis for camera: c1
2026-08-07 00:04:11,990 | REDIS_SERVER | INFO | Frame saved to Redis for camera: c1
2026-08-07 00:04:12,573 | REDIS_SERVER | INFO | Frame saved to Redis for camera: c1
2026-08-07 00:04:13,169 | REDIS_SERVER | INFO | Frame saved to Redis for camera: c1
2026-08-07 00:04:13,739 | REDIS_SERVER | INFO | Frame saved to Redis for camera: c1
2026-08-07 00:04:14,300 | REDIS_SERVER | INFO | Frame saved to Redis for camera: c1
2026-08-07 00:04:14,909 | REDIS_SERVER | INFO | Frame saved to Redis for camera: c1
2026-08-07 00:04:15,656 | REDIS_SERVER | INFO | Frame saved to Redis for camera: c1
2026-08-07 00:04:16,275 | REDIS_SERVER | INFO | Frame saved to Redis for camera: c1
2026-08-07 00:04:16,812 | REDIS_SERVER | INFO | Frame saved to Redis for camera: c1
2026-08-07 00:04:17,606 | REDIS_SERVER | INFO | Frame saved to Redis for camera: c1
2026-08-07 00:04:18,336 | REDIS_SERVER | INFO | Frame saved to Redis for camera: c1
2026-08-07 00:04:18,903 | REDIS_SERVER | INFO | Frame saved to Redis for camera: c1
2026-08-07 00:04:19,498 | REDIS_SERVER | INFO | Frame saved to Redis for camera: c1
2026-08-07 00:04:20,070 | REDIS_SERVER | INFO | Frame saved to Redis for camera: c1
2026-08-07 00:04:20,659 | REDIS_SERVER | INFO | Frame saved to Redis for camera: c1
2026-08-07 00:04:21,309 | REDIS_SERVER | INFO | Frame saved to Redis for camera: c1
2026-08-07 00:04:21,909 | REDIS_SERVER | INFO | Frame saved to Redis for camera: c1
2026-08-07 00:04:22,560 | REDIS_SERVER | INFO | Frame saved to Redis for camera: c1
2026-08-07 00:04:23,160 | REDIS_SERVER | INFO | Frame saved to Redis for camera: c1
2026-08-07 00:04:23,761 | REDIS_SERVER | INFO | Frame saved to Redis for camera: c1
2026-08-07 00:04:24,323 | REDIS_SERVER | INFO | Frame saved to Redis for camera: c1
2026-08-07 00:04:24,975 | REDIS_SERVER | INFO | Frame saved to Redis for camera: c1
2026-08-07 00:04:25,574 | REDIS_SERVER | INFO | Frame saved to Redis for camera: c1
2026-08-07 00:04:26,104 | REDIS_SERVER | INFO | Frame saved to Redis for camera: c1
2026-08-07 00:04:26,524 | REDIS_SERVER | INFO | Frame saved to Redis for camera: c1
2026-08-07 00:04:26,924 | REDIS_SERVER | INFO | Frame saved to Redis for camera: c1
2026-08-07 00:04:27,312 | REDIS_SERVER | INFO | Frame saved to Redis for camera: c1
2026-08-07 00:04:27,687 | REDIS_SERVER | INFO | Frame saved to Redis for camera: c1
2026-08-07 00:04:28,059 | REDIS_SERVER | INFO | Frame saved to Redis for camera: c1
2026-08-07 00:04:28,436 | REDIS_SERVER | INFO | Frame saved to Redis for camera: c1
2026-08-07 00:04:28,813 | REDIS_SERVER | INFO | Frame saved to Redis for camera: c1
2026-08-07 00:04:29,205 | REDIS_SERVER | INFO | Frame saved to Redis for camera: c1
2026-08-07 00:04:29,588 | REDIS_SERVER | INFO | Frame saved to Redis for camera: c1
2026-08-07 00:04:29,990 | REDIS_SERVER | INFO | Frame saved to Redis for camera: c1
2026-08-07 00:04:30,383 | REDIS_SERVER | INFO | Frame saved to Redis for camera: c1
2026-08-07 00:04:30,799 | REDIS_SERVER | INFO | Frame saved to Redis for camera: c1
2026-08-07 00:04:31,179 | REDIS_SERVER | INFO | Frame saved to Redis for camera: c1
2026-08-07 00:04:31,567 | REDIS_SERVER | INFO | Frame saved to Redis for camera: c1
2026-08-07 00:04:31,964 | REDIS_SERVER | INFO | Frame saved to Redis for camera: c1
2026-08-07 00:04:32,357 | REDIS_SERVER | INFO | Frame saved to Redis for camera: c1
2026-08-07 00:04:32,739 | REDIS_SERVER | INFO | Frame saved to Redis for camera: c1
2026-08-07 00:04:33,130 | REDIS_SERVER | INFO | Frame saved to Redis for camera: c1
2026-08-07 00:04:33,861 | REDIS_SERVER | INFO | Frame saved to Redis for camera: c1
2026-08-07 00:04:34,553 | REDIS_SERVER | INFO | Frame saved to Redis for camera: c1
2026-08-07 00:04:35,281 | REDIS_SERVER | INFO | Frame saved to Redis for camera: c1
2026-08-07 00:04:36,023 | REDIS_SERVER | INFO | Frame saved to Redis for camera: c1
2026-08-07 00:04:36,748 | REDIS_SERVER | INFO | Frame saved to Redis for camera: c1
2026-08-07 00:04:37,458 | REDIS_SERVER | INFO | Frame saved to Redis for camera: c1
2026-08-07 00:04:38,198 | REDIS_SERVER | INFO | Frame saved to Redis for camera: c1
2026-08-07 00:04:38,922 | REDIS_SERVER | INFO | Frame saved to Redis for camera: c1
2026-08-07 00:04:39,636 | REDIS_SERVER | INFO | Frame saved to Redis for camera: c1
2026-08-07 00:04:40,356 | REDIS_SERVER | INFO | Frame saved to Redis for camera: c1
2026-08-07 00:04:41,059 | REDIS_SERVER | INFO | Frame saved to Redis for camera: c1
2026-08-07 00:04:41,729 | REDIS_SERVER | INFO | Frame saved to Redis for camera: c1
2026-08-07 00:04:42,440 | REDIS_SERVER | INFO | Frame saved to Redis for camera: c1
2026-08-07 00:04:43,155 | REDIS_SERVER | INFO | Frame saved to Redis for camera: c1
2026-08-07 00:04:43,887 | REDIS_SERVER | INFO | Frame saved to Redis for camera: c1
2026-08-07 00:04:44,588 | REDIS_SERVER | INFO | Frame saved to Redis for camera: c1
2026-08-07 00:04:45,318 | REDIS_SERVER | INFO | Frame saved to Redis for camera: c1
2026-08-07 00:04:46,012 | REDIS_SERVER | INFO | Frame saved to Redis for camera: c1
2026-08-07 00:04:46,704 | REDIS_SERVER | INFO | Frame saved to Redis for camera: c1
2026-08-07 00:04:47,439 | REDIS_SERVER | INFO | Frame saved to Redis for camera: c1
2026-08-07 00:04:48,149 | REDIS_SERVER | INFO | Frame saved to Redis for camera: c1
2026-08-07 00:04:48,834 | REDIS_SERVER | INFO | Frame saved to Redis for camera: c1
2026-08-07 00:04:49,548 | REDIS_SERVER | INFO | Frame saved to Redis for camera: c1
2026-08-07 00:04:50,261 | REDIS_SERVER | INFO | Frame saved to Redis for camera: c1
2026-08-07 00:04:50,951 | REDIS_SERVER | INFO | Frame saved to Redis for camera: c1
2026-08-07 00:04:51,662 | REDIS_SERVER | INFO | Frame saved to Redis for camera: c1
2026-08-07 00:04:52,383 | REDIS_SERVER | INFO | Frame saved to Redis for camera: c1
2026-08-07 00:04:53,077 | REDIS_SERVER | INFO | Frame saved to Redis for camera: c1
2026-08-07 00:04:53,776 | REDIS_SERVER | INFO | Frame saved to Redis for camera: c1
2026-08-07 00:04:54,508 | REDIS_SERVER | INFO | Frame saved to Redis for camera: c1
2026-08-07 00:04:55,230 | REDIS_SERVER | INFO | Frame saved to Redis for camera: c1
2026-08-07 00:04:55,942 | REDIS_SERVER | INFO | Frame saved to Redis for camera: c1
2026-08-07 00:04:56,669 | REDIS_SERVER | INFO | Frame saved to Redis for camera: c1
2026-08-07 00:04:57,375 | REDIS_SERVER | INFO | Frame saved to Redis for camera: c1
2026-08-07 00:04:58,092 | REDIS_SERVER | INFO | Frame saved to Redis for camera: c1
2026-08-07 00:04:58,826 | REDIS_SERVER | INFO | Frame saved to Redis for camera: c1
2026-08-07 00:04:59,319 | REDIS_SERVER | INFO | Frame saved to Redis for camera: c1
2026-08-07 00:04:59,700 | REDIS_SERVER | INFO | Frame saved to Redis for camera: c1
2026-08-07 00:05:00,126 | REDIS_SERVER | INFO | Frame saved to Redis for camera: c1
2026-08-07 00:05:00,519 | REDIS_SERVER | INFO | Frame saved to Redis for camera: c1
2026-08-07 00:05:00,908 | REDIS_SERVER | INFO | Frame saved to Redis for camera: c1
2026-08-07 00:05:01,278 | REDIS_SERVER | INFO | Frame saved to Redis for camera: c1
2026-08-07 00:05:01,662 | REDIS_SERVER | INFO | Frame saved to Redis for camera: c1
2026-08-07 00:05:02,051 | REDIS_SERVER | INFO | Frame saved to Redis for camera: c1
2026-08-07 00:05:02,446 | REDIS_SERVER | INFO | Frame saved to Redis for camera: c1
2026-08-07 00:05:02,856 | REDIS_SERVER | INFO | Frame saved to Redis for camera: c1
2026-08-07 00:05:03,258 | REDIS_SERVER | INFO | Frame saved to Redis for camera: c1
2026-08-07 00:05:03,673 | REDIS_SERVER | INFO | Frame saved to Redis for camera: c1
2026-08-07 00:05:04,054 | REDIS_SERVER | INFO | Frame saved to Redis for camera: c1
2026-08-07 00:05:04,465 | REDIS_SERVER | INFO | Frame saved to Redis for camera: c1
2026-08-07 00:05:04,888 | REDIS_SERVER | INFO | Frame saved to Redis for camera: c1
2026-08-07 00:05:05,291 | REDIS_SERVER | INFO | Frame saved to Redis for camera: c1
2026-08-07 00:05:05,851 | REDIS_SERVER | INFO | Frame saved to Redis for camera: c1
2026-08-07 00:05:06,560 | REDIS_SERVER | INFO | Frame saved to Redis for camera: c1
2026-08-07 00:05:07,244 | REDIS_SERVER | INFO | Frame saved to Redis for camera: c1
2026-08-07 00:07:08,545 | REDIS_SERVER | INFO | Redis Connected Successfully
2026-08-07 00:07:08,547 | REDIS_SERVER | INFO | Loaded c1 into Redis
2026-08-07 00:07:08,547 | REDIS_SERVER | INFO | Loaded c2 into Redis
2026-08-07 00:07:08,547 | REDIS_SERVER | INFO | Loaded c3 into Redis
2026-08-07 00:07:08,547 | REDIS_SERVER | INFO | Loaded c4 into Redis
2026-08-07 00:07:15,474 | REDIS_SERVER | INFO | Frame saved to Redis for camera: c1
2026-08-07 00:07:16,011 | REDIS_SERVER | INFO | Frame saved to Redis for camera: c1
2026-08-07 00:07:16,402 | REDIS_SERVER | INFO | Frame saved to Redis for camera: c1
2026-08-07 00:07:16,816 | REDIS_SERVER | INFO | Frame saved to Redis for camera: c1
2026-08-07 00:07:17,227 | REDIS_SERVER | INFO | Frame saved to Redis for camera: c1
2026-08-07 00:07:17,623 | REDIS_SERVER | INFO | Frame saved to Redis for camera: c1
2026-08-07 00:07:18,006 | REDIS_SERVER | INFO | Frame saved to Redis for camera: c1
2026-08-07 00:07:18,400 | REDIS_SERVER | INFO | Frame saved to Redis for camera: c1
2026-08-07 00:07:18,775 | REDIS_SERVER | INFO | Frame saved to Redis for camera: c1
2026-08-07 00:07:19,168 | REDIS_SERVER | INFO | Frame saved to Redis for camera: c1
2026-08-07 00:07:19,557 | REDIS_SERVER | INFO | Frame saved to Redis for camera: c1
2026-08-07 00:07:19,942 | REDIS_SERVER | INFO | Frame saved to Redis for camera: c1
2026-08-07 00:07:20,333 | REDIS_SERVER | INFO | Frame saved to Redis for camera: c1
2026-08-07 00:07:20,865 | REDIS_SERVER | INFO | Frame saved to Redis for camera: c1
2026-08-07 00:07:21,271 | REDIS_SERVER | INFO | Frame saved to Redis for camera: c1
2026-08-07 00:07:21,655 | REDIS_SERVER | INFO | Frame saved to Redis for camera: c1
2026-08-07 00:07:22,040 | REDIS_SERVER | INFO | Frame saved to Redis for camera: c1
2026-08-07 00:07:22,462 | REDIS_SERVER | INFO | Frame saved to Redis for camera: c1
2026-08-07 00:07:22,874 | REDIS_SERVER | INFO | Frame saved to Redis for camera: c1
2026-08-07 00:07:23,267 | REDIS_SERVER | INFO | Frame saved to Redis for camera: c1
2026-08-07 00:07:23,644 | REDIS_SERVER | INFO | Frame saved to Redis for camera: c1
2026-08-07 00:07:24,024 | REDIS_SERVER | INFO | Frame saved to Redis for camera: c1
2026-08-07 00:07:24,427 | REDIS_SERVER | INFO | Frame saved to Redis for camera: c1
2026-08-07 00:07:24,810 | REDIS_SERVER | INFO | Frame saved to Redis for camera: c1
2026-08-07 00:07:25,195 | REDIS_SERVER | INFO | Frame saved to Redis for camera: c2
2026-08-07 00:07:25,602 | REDIS_SERVER | INFO | Frame saved to Redis for camera: c2
2026-08-07 00:07:25,997 | REDIS_SERVER | INFO | Frame saved to Redis for camera: c2
2026-08-07 00:07:26,393 | REDIS_SERVER | INFO | Frame saved to Redis for camera: c2
2026-08-07 00:07:26,789 | REDIS_SERVER | INFO | Frame saved to Redis for camera: c2
2026-08-07 00:07:27,175 | REDIS_SERVER | INFO | Frame saved to Redis for camera: c2
2026-08-07 00:07:27,577 | REDIS_SERVER | INFO | Frame saved to Redis for camera: c2
2026-08-07 00:07:27,966 | REDIS_SERVER | INFO | Frame saved to Redis for camera: c2
2026-08-07 00:07:28,384 | REDIS_SERVER | INFO | Frame saved to Redis for camera: c2
2026-08-07 00:07:28,813 | REDIS_SERVER | INFO | Frame saved to Redis for camera: c2
2026-08-07 00:07:29,228 | REDIS_SERVER | INFO | Frame saved to Redis for camera: c2
2026-08-07 00:07:29,634 | REDIS_SERVER | INFO | Frame saved to Redis for camera: c2
2026-08-07 00:07:30,028 | REDIS_SERVER | INFO | Frame saved to Redis for camera: c2
2026-08-07 00:07:30,411 | REDIS_SERVER | INFO | Frame saved to Redis for camera: c2
2026-08-07 00:07:30,811 | REDIS_SERVER | INFO | Frame saved to Redis for camera: c2
2026-08-07 00:07:31,202 | REDIS_SERVER | INFO | Frame saved to Redis for camera: c2
2026-08-07 00:07:31,607 | REDIS_SERVER | INFO | Frame saved to Redis for camera: c2
2026-08-07 00:07:32,000 | REDIS_SERVER | INFO | Frame saved to Redis for camera: c2
2026-08-07 00:07:32,418 | REDIS_SERVER | INFO | Frame saved to Redis for camera: c2
2026-08-07 00:07:32,844 | REDIS_SERVER | INFO | Frame saved to Redis for camera: c2
2026-08-07 00:07:33,248 | REDIS_SERVER | INFO | Frame saved to Redis for camera: c2
2026-08-07 00:07:33,650 | REDIS_SERVER | INFO | Frame saved to Redis for camera: c2
2026-08-07 00:07:34,050 | REDIS_SERVER | INFO | Frame saved to Redis for camera: c2
2026-08-07 00:07:34,439 | REDIS_SERVER | INFO | Frame saved to Redis for camera: c2
