2026-08-06 23:35:42,295 | ROI | INFO | ROI Consumer Ready
2026-08-06 23:35:42,297 | ROI | INFO | Waiting for frames...
2026-08-07 00:03:59,917 | ROI | INFO | CAM=c1 LABEL=Bike INSIDE_ROI=False
2026-08-07 00:03:59,917 | ROI | INFO | CAM=c1 LABEL=Car INSIDE_ROI=False
2026-08-07 00:03:59,918 | ROI | INFO | CAM=c1 LABEL=Bike INSIDE_ROI=True
2026-08-07 00:03:59,934 | ROI | ERROR | Redis Save Error: unknown command 'HELLO'
2026-08-07 00:04:00,279 | ROI | INFO | Created video file: roi_detected_frames\c1\Bike_roi.avi
2026-08-07 00:04:00,322 | ROI | INFO | Frame written to video -> CAM=c1 LABEL=Bike
2026-08-07 00:04:00,463 | ROI | INFO | CAM=c1 LABEL=Bike INSIDE_ROI=True
2026-08-07 00:04:00,659 | ROI | ERROR | Redis Save Error: unknown command 'HELLO'
2026-08-07 00:04:00,955 | ROI | INFO | Frame written to video -> CAM=c1 LABEL=Bike
2026-08-07 00:04:03,011 | ROI | INFO | CAM=c1 LABEL=Bike INSIDE_ROI=False
2026-08-07 00:04:03,011 | ROI | INFO | CAM=c1 LABEL=Bike INSIDE_ROI=True
2026-08-07 00:04:03,016 | ROI | ERROR | Redis Save Error: unknown command 'HELLO'
2026-08-07 00:04:03,019 | ROI | INFO | Frame written to video -> CAM=c1 LABEL=Bike
2026-08-07 00:04:03,019 | ROI | INFO | CAM=c1 LABEL=Car INSIDE_ROI=False
2026-08-07 00:04:03,020 | ROI | INFO | CAM=c1 LABEL=Bike INSIDE_ROI=True
2026-08-07 00:04:03,024 | ROI | ERROR | Redis Save Error: unknown command 'HELLO'
2026-08-07 00:04:03,026 | ROI | INFO | Frame written to video -> CAM=c1 LABEL=Bike
2026-08-07 00:04:03,945 | ROI | INFO | CAM=c1 LABEL=Bike INSIDE_ROI=False
2026-08-07 00:04:03,948 | ROI | INFO | CAM=c1 LABEL=Bike INSIDE_ROI=True
